Column2	Column11	Column1	Column2	Column4	Description	Cluster	Tissue-enriched expression	High expression
comp130334_c1_seq1	2.00E-87	AM866620.p.cg.6	CGI_10024530	AM866620	(sp:Q8CCB4) Vacuolar protein sorting-associated protein 53 homolog OS=Mus musculus GN=Vps53 PE=2 SV=1	5	male gonad	Visceral ganglion
comp143876_c0_seq7	7.00E-86	BQ426960.p.cg.6	CGI_10027229	BQ426960	(sp:A1A5Q4) UPF0704 protein C6orf165 homolog OS=Rattus norvegicus PE=2 SV=1	5		Labial palps and gills
comp125113_c0_seq1	7.00E-62	AM856760.p.cg.6	CGI_10010869	AM856760	(sp:Q642A5) DNA polymerase epsilon subunit 3 OS=Rattus norvegicus GN=Pole3 PE=2 SV=1	9		#N/A
comp140093_c0_seq3	2.00E-74	AM858776.p.cg.6	CGI_10023335	AM858776	(sp:P07735) Glycerol-3-phosphate dehydrogenase [NAD+], cytoplasmic OS=Drosophila virilis GN=Gpdh PE=1 SV=3	8	male gonad	#N/A
comp28280_c0_seq1	2.00E-135	AM868500.p.cg.6	CGI_10006939	AM868500	(sp:P62335) 26S protease regulatory subunit S10B OS=Spermophilus tridecemlineatus GN=PSMC6 PE=2 SV=1	8		#N/A
comp123995_c0_seq1	4.00E-96	AM867308.p.cg.6	CGI_10019854	AM867308	(sp:Q5ZKN1) Cell division protein kinase 9 OS=Gallus gallus GN=CDK9 PE=2 SV=1	3		#N/A
comp138578_c1_seq1	1.00E-105	CU993384.p.cg.6	CGI_10004771	CU993384	(sp:Q5JVL4) EF-hand domain-containing protein 1 OS=Homo sapiens GN=EFHC1 PE=1 SV=1	5		Labial palps and gills
comp142890_c1_seq1	1.00E-96	EE677697.p.cg.6	CGI_10016140	EE677697	(sp:Q7QC84) Probable methylmalonate-semialdehyde dehydrogenase [acylating], mitochondrial OS=Anopheles gambiae GN=AGAP002499 PE=3 SV=2	4		#N/A
comp138578_c0_seq1	3.00E-96	ES789239.p.cg.6	CGI_10004771	ES789239	(sp:Q9D9T8) EF-hand domain-containing protein 1 OS=Mus musculus GN=Efhc1 PE=1 SV=1	5		Labial palps and gills
comp133131_c0_seq2	2.00E-100	BQ426921.p.cg.6	CGI_10000789	BQ426921	(sp:P83941) Transcription elongation factor B polypeptide 1 OS=Rattus norvegicus GN=Tceb1 PE=1 SV=1	8		#N/A
comp141641_c0_seq2	6.00E-78	CU685202.p.cg.6	CGI_10006312	CU685202	(sp:Q5T655) Coiled-coil domain-containing protein 147 OS=Homo sapiens GN=CCDC147 PE=2 SV=1	5		Labial palps and gills
comp48421_c0_seq1	1.00E-102	BQ427163.p.cg.6	CGI_10001165	BQ427163	(sp:Q5BJ65) Histone H2A.V OS=Xenopus tropicalis GN=h2afv PE=2 SV=3	8		#N/A
comp140707_c3_seq1	3.00E-122	AM862862.p.cg.6	CGI_10028575	AM862862	(sp:Q7YR39) Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 OS=Pan troglodytes GN=DHX16 PE=3 SV=1	7		#N/A
comp137723_c0_seq1	1.00E-91	AM856886.p.cg.6	CGI_10003076	AM856886	(sp:Q0VFN8) Uncharacterized protein C9orf117 homolog OS=Xenopus tropicalis PE=2 SV=1	5		Labial palps and gills
comp142670_c2_seq1	4.00E-94	AM861996.p.cg.6	CGI_10028339	AM861996	(sp:B2GUV7) Eukaryotic translation initiation factor 5B OS=Rattus norvegicus GN=Eif5b PE=1 SV=1	3		#N/A
comp142437_c1_seq3	1.00E-70	AM864624.p.cg.6	CGI_10019578	AM864624	(sp:Q6GYQ0) Ral GTPase-activating protein alpha subunit 1 OS=Homo sapiens GN=RALGAPA1 PE=1 SV=1	1		hemocytes
comp142619_c0_seq8	3.00E-81	CU994336.p.cg.6	CGI_10006423	CU994336	(sp:Q9BZ19) Ankyrin repeat domain-containing protein 60 OS=Homo sapiens GN=ANKRD60 PE=2 SV=3	5		Labial palps and gills
comp140617_c0_seq2	0	AM858396.p.cg.6	CGI_10028221	AM858396	(sp:Q6P2U9) COP9 signalosome complex subunit 3 OS=Danio rerio GN=cops3 PE=2 SV=1	8		#N/A
comp137842_c0_seq1	4.00E-128	FP000131.p.cg.6	CGI_10003521	FP000131	(sp:Q8BTM8) Filamin-A OS=Mus musculus GN=Flna PE=1 SV=4	10		Adductor muscle
comp50630_c0_seq1	1.00E-141	CU983935.p.cg.6	CGI_10023288	CU983935	(sp:Q567I9) Cytochrome b5 domain-containing protein 1 OS=Danio rerio GN=cyb5d1 PE=2 SV=1	5		Labial palps and gills
comp59400_c0_seq1	2.00E-66	AM864903.p.cg.6	CGI_10027482	AM864903	(sp:Q96M60) Uncharacterized protein C15orf33 OS=Homo sapiens GN=C15orf33 PE=2 SV=2	5	male gonad	Labial palps and gills
comp144123_c0_seq3	5.00E-77	EE677599.p.cg.6	CGI_10018475	EE677599	(sp:O43805) Sjoegren syndrome nuclear autoantigen 1 OS=Homo sapiens GN=SSNA1 PE=1 SV=2	5		#N/A
comp140491_c1_seq2	1.00E-101	AJ535669.p.cg.6	CGI_10003373	AJ535669	(sp:Q25410) Putative molluscan insulin-related peptide(s) receptor OS=Lymnaea stagnalis PE=2 SV=1	2		#N/A
comp112669_c1_seq1	7.00E-63	CU995701.p.cg.6	CGI_10011809	CU995701	(sp:Q8TAM2) Tetratricopeptide repeat protein 8 OS=Homo sapiens GN=TTC8 PE=1 SV=1	7		#N/A
comp111825_c0_seq1	5.00E-100	CU987413.p.cg.6	CGI_10018065	CU987413	(sp:Q28FE4) MORN repeat-containing protein 5 OS=Xenopus tropicalis GN=morn5 PE=2 SV=1	5	male gonad	Labial palps and gills
comp130760_c0_seq1	6.00E-111	BQ426947.p.cg.6	CGI_10020782	BQ426947	(sp:O42149) Protein mago nashi homolog OS=Xenopus laevis GN=magoh PE=2 SV=1	8		#N/A
comp137927_c0_seq1	4.00E-76	AM869337.p.cg.6	CGI_10011521	AM869337	(sp:Q29RZ2) Peptidylprolyl isomerase domain and WD repeat-containing protein 1 OS=Bos taurus GN=PPWD1 PE=2 SV=1	8	male gonad	#N/A
comp108941_c0_seq1	5.00E-109	BQ426475.p.cg.6	CGI_10020476	BQ426475	(sp:Q9CZ15) DNA replication complex GINS protein PSF1 OS=Mus musculus GN=Gins1 PE=2 SV=1	8		#N/A
comp143022_c0_seq8	1.00E-94	AM864669.p.cg.6	CGI_10017774	AM864669	(sp:Q6NZQ0) Coiled-coil domain-containing protein C16orf93 homolog OS=Mus musculus GN=Gm166 PE=2 SV=2	5		Labial palps and gills
comp131335_c0_seq1	1.00E-128	AM857430.p.cg.6	CGI_10012093	AM857430	(sp:Q0VC09) RIB43A-like with coiled-coils protein 1 OS=Bos taurus GN=RIBC1 PE=2 SV=1	5		Labial palps and gills
comp140153_c0_seq2	3.00E-80	AM855747.p.cg.6	CGI_10025647	AM855747	(sp:Q5R4R4) Protein LSM14 homolog A OS=Pongo abelii GN=LSM14A PE=2 SV=1	4		#N/A
comp140352_c2_seq9	2.00E-140	FP000294.p.cg.6	CGI_10005385	FP000294	(sp:Q1JPX3) Phenylalanyl-tRNA synthetase alpha chain OS=Danio rerio GN=farsa PE=2 SV=2	9		#N/A
comp134387_c0_seq1	1.00E-96	CX069186.p.cg.6	CGI_10026012	CX069186	(sp:Q08013) Translocon-associated protein subunit gamma OS=Rattus norvegicus GN=Ssr3 PE=1 SV=2	9		#N/A
comp142337_c2_seq1	3.00E-78	AM862948.p.cg.6	CGI_10020639	AM862948	(sp:Q6P1R4) tRNA-dihydrouridine synthase 1-like OS=Homo sapiens GN=DUS1L PE=1 SV=1	2		#N/A
comp132248_c0_seq1	2.00E-177	AM856889.p.cg.6	CGI_10023389	AM856889	(sp:Q9Z2U1) Proteasome subunit alpha type-5 OS=Mus musculus GN=Psma5 PE=1 SV=1	9		#N/A
comp142462_c0_seq1	9.00E-138	CU990254.p.cg.6	CGI_10011025	CU990254	(sp:Q9JLI7) Sperm-associated antigen 6 OS=Mus musculus GN=Spag6 PE=1 SV=1	5		Labial palps and gills
comp136624_c0_seq1	0	AM859534.p.cg.6	CGI_10015222	AM859534	(sp:P46470) 26S protease regulatory subunit 8 OS=Xenopus laevis GN=psmc5 PE=2 SV=2	8		#N/A
comp140104_c0_seq1	4.00E-108	AM858229.p.cg.6	CGI_10025394	AM858229	(sp:Q4R642) T-complex-associated testis-expressed protein 1 OS=Macaca fascicularis GN=TCTE1 PE=2 SV=1	5		Labial palps and gills
comp110084_c0_seq1	2.00E-91	AM866236.p.cg.6	CGI_10010421	AM866236	(sp:Q9Y248) DNA replication complex GINS protein PSF2 OS=Homo sapiens GN=GINS2 PE=1 SV=1	8		#N/A
comp144461_c0_seq7	3.00E-87	CU999937.p.cg.6	CGI_10011964	CU999937	(sp:Q9Y490) Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	10		Adductor muscle
comp143167_c1_seq1	1.00E-134	BQ426799.p.cg.6	CGI_10020792	BQ426799	(sp:P28075) Proteasome subunit beta type-5 OS=Rattus norvegicus GN=Psmb5 PE=1 SV=3	8		#N/A
comp141939_c0_seq2	0	AM857837.p.cg.6	CGI_10024585	AM857837	(sp:A7MBF6) Uncharacterized protein C1orf228 homolog OS=Bos taurus PE=2 SV=1	5		Labial palps and gills
