Pgen-contig,Hit-evalue,Hit-Entry,Hit-Gene ontology (GO),Hit-Protein names,Hit-Organism
Pgenerosa-v1_contig_12701,1.00E-93,Q9BUN8,"ER-associated protein catabolic process; MHC class I protein binding; early endosome; endoplasmic reticulum unfolded protein response; integral to endoplasmic reticulum membrane; intracellular transport of viral proteins in host cell; late endosome; receptor activity; retrograde protein transport, ER to cytosol",Derlin-1 (Degradation in endoplasmic reticulum protein 1) (DERtrin-1) (Der1-like protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_12707,2.00E-39,Q2QCI8,"RNA polymerase II transcription cofactor activity; embryonic neurocranium morphogenesis; embryonic pectoral fin morphogenesis; embryonic viscerocranium morphogenesis; endoderm development; forebrain development; iridophore differentiation; kidney development; mediator complex; midbrain development; neural crest cell development; neuron differentiation; positive regulation of transcription, DNA-dependent; regulation of myeloid leukocyte differentiation; rhombomere boundary formation; sequence-specific DNA binding transcription factor activity",Mediator of RNA polymerase II transcription subunit 12 (Mediator complex subunit 12) (Protein kohtalo) (Protein motionless) (Thyroid hormone receptor-associated protein complex 230 kDa component) (Trap230),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12708,4.00E-159,Q9FKK7,D-xylose metabolic process; Golgi apparatus; endoplasmic reticulum; metal ion binding; pentose-phosphate shunt; vacuolar membrane; xylose isomerase activity,Xylose isomerase (EC 5.3.1.5),Arabidopsis thaliana (Mouse-ear cress)
Pgenerosa-v1_contig_12710,4.00E-50,Q9UBQ7,NAD binding; NADPH binding; cellular nitrogen compound metabolic process; excretion; glycerate dehydrogenase activity; glyoxylate metabolic process; glyoxylate reductase (NADP) activity; hydroxypyruvate reductase activity; peroxisomal matrix; protein homodimerization activity; protein oligomerization,Glyoxylate reductase/hydroxypyruvate reductase (EC 1.1.1.79) (EC 1.1.1.81),Homo sapiens (Human)
Pgenerosa-v1_contig_12713,1.00E-41,Q9H330,integral to membrane,Transmembrane protein 245 (Protein CG-2),Homo sapiens (Human)
Pgenerosa-v1_contig_12714,3.00E-52,Q5XHG1,Golgi membrane; endoplasmic reticulum membrane; integral to membrane; metal ion binding; sphingomyelin phosphodiesterase D activity; sphingomyelin phosphodiesterase activity,Sphingomyelin phosphodiesterase 4 (EC 3.1.4.12) (Neutral sphingomyelinase 3) (nSMase-3) (nSMase3) (Neutral sphingomyelinase III),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12715,2.00E-90,Q3TJZ6,,Protein FAM98A,Mus musculus (Mouse)
Pgenerosa-v1_contig_12716,9.00E-56,Q6DDH2,DNA replication; nucleus,RecQ-mediated genome instability protein 1,Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_1272,9.00E-71,Q23023,ATP binding; apoptotic cell clearance; autophagy; axon; axon guidance; cell migration; dauer larval development; determination of adult lifespan; embryo development ending in birth or egg hatching; neuronal cell body; programmed cell death; protein autophosphorylation; protein serine/threonine kinase activity; regulation of axon extension; regulation of multicellular organism growth; regulation of protein localization; tail tip morphogenesis,Serine/threonine-protein kinase unc-51 (EC 2.7.11.1) (Uncoordinated protein 51),Caenorhabditis elegans
Pgenerosa-v1_contig_12721,9.00E-60,P39057,ATP binding; ATP catabolic process; ATPase activity; cell projection organization; cilium; cytoplasm; dynein complex; microtubule; microtubule motor activity; microtubule-based movement,"Dynein beta chain, ciliary",Heliocidaris crassispina (Sea urchin) (Anthocidaris crassispina)
Pgenerosa-v1_contig_12722,2.00E-106,Q8TDJ6,Rab GTPase binding; cell junction; synaptic vesicle; synaptic vesicle membrane,DmX-like protein 2 (Rabconnectin-3),Homo sapiens (Human)
Pgenerosa-v1_contig_12723,0,Q7ZUW2,ATP binding; endoplasmic reticulum lumen,Hypoxia up-regulated protein 1,Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12724,0,Q10567,Golgi membrane; antigen processing and presentation of exogenous peptide antigen via MHC class II; clathrin adaptor complex; clathrin-coated vesicle membrane; cytoplasmic vesicle membrane; cytosol; endocytosis; intracellular protein transport; lysosomal membrane; post-Golgi vesicle-mediated transport; protein transporter activity; regulation of defense response to virus by virus; trans-Golgi network membrane; transporter activity; viral process,AP-1 complex subunit beta-1 (Adapter-related protein complex 1 subunit beta-1) (Adaptor protein complex AP-1 subunit beta-1) (Beta-1-adaptin) (Beta-adaptin 1) (Clathrin assembly protein complex 1 beta large chain) (Golgi adaptor HA1/AP1 adaptin beta subunit),Homo sapiens (Human)
Pgenerosa-v1_contig_12725,7.00E-68,Q2VUH7,axon terminus; camera-type eye development; canonical Wnt receptor signaling pathway; cell cortex; cell cycle; cerebellar cortex development; cerebral cortex radially oriented cell migration; cytosol; focal adhesion; forebrain development; forebrain ventricular zone progenitor cell division; gamma-tubulin binding; mitogen-activated protein kinase kinase kinase binding; negative regulation of neuron differentiation; neuronal cell body; positive regulation of JNK cascade; positive regulation of axonogenesis; positive regulation of canonical Wnt receptor signaling pathway; protein complex; regulation of actin cytoskeleton organization; regulation of microtubule cytoskeleton organization; signal transducer activity,Dixin (Coiled-coil protein DIX1) (Coiled-coil-DIX1) (DIX domain-containing protein 1),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12726,6.00E-132,Q13114,CD40 receptor complex; TRIF-dependent toll-like receptor signaling pathway; Toll signaling pathway; apoptotic process; cytosol; endosome; innate immune response; internal side of plasma membrane; mitochondrion; negative regulation of NF-kappaB transcription factor activity; negative regulation of type I interferon production; regulation of apoptotic process; regulation of defense response to virus; regulation of interferon-beta production; regulation of proteolysis; signal transducer activity; toll-like receptor 3 signaling pathway; toll-like receptor 4 signaling pathway; tumor necrosis factor-mediated signaling pathway; ubiquitin-protein ligase activity; zinc ion binding,TNF receptor-associated factor 3 (EC 6.3.2.-) (CAP-1) (CD40 receptor-associated factor 1) (CRAF1) (CD40-binding protein) (CD40BP) (LMP1-associated protein 1) (LAP1),Homo sapiens (Human)
Pgenerosa-v1_contig_12727,8.00E-126,Q9Z0W3,kinetochore; mRNA export from nucleus; nuclear pore outer ring; nucleocytoplasmic transporter activity; protein transport,Nuclear pore complex protein Nup160 (160 kDa nucleoporin) (Gene trap locus 1-13 protein) (GTL-13) (Nucleoporin Nup160),Mus musculus (Mouse)
Pgenerosa-v1_contig_12731,1.00E-79,Q5PQZ3,"integral to membrane; nucleotide binding; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent; zinc ion transmembrane transporter activity",Zinc transporter 9 (ZnT-9) (Solute carrier family 30 member 9),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12737,2.00E-87,Q6JQN1,"acyl-CoA dehydrogenase activity; flavin adenine dinucleotide binding; hydrolase activity; mitochondrion; transferase activity, transferring phosphorus-containing groups",Acyl-CoA dehydrogenase family member 10 (ACAD-10) (EC 1.3.99.-),Homo sapiens (Human)
Pgenerosa-v1_contig_12739,1.00E-21,P08548,RNA binding; RNA-dependent DNA replication; RNA-directed DNA polymerase activity; metal ion binding,LINE-1 reverse transcriptase homolog (EC 2.7.7.49),Nycticebus coucang (Slow loris)
Pgenerosa-v1_contig_12745,3.00E-65,Q96JM7,"chromatin modification; nucleus; regulation of transcription, DNA-dependent; transcription, DNA-dependent",Lethal(3)malignant brain tumor-like protein 3 (H-l(3)mbt-like protein 3) (L(3)mbt-like protein 3) (MBT-1),Homo sapiens (Human)
Pgenerosa-v1_contig_12748,8.00E-36,O75643,ATP binding; ATP-dependent RNA helicase activity; U5 snRNP; catalytic step 2 spliceosome; cis assembly of pre-catalytic spliceosome; nucleic acid binding; nucleoplasm,U5 small nuclear ribonucleoprotein 200 kDa helicase (EC 3.6.4.13) (Activating signal cointegrator 1 complex subunit 3-like 1) (BRR2 homolog) (U5 snRNP-specific 200 kDa protein) (U5-200KD),Homo sapiens (Human)
Pgenerosa-v1_contig_1275,0,,,,
Pgenerosa-v1_contig_12750,1.00E-17,Q9R087,Golgi lumen; anchored to membrane; cell migration; extracellular space; integral to plasma membrane; proteinaceous extracellular matrix,Glypican-6 [Cleaved into: Secreted glypican-6],Mus musculus (Mouse)
Pgenerosa-v1_contig_12752,9.00E-33,Q96DZ1,ER-associated protein catabolic process; endoplasmic reticulum lumen; glycoprotein binding,Endoplasmic reticulum lectin 1 (ER lectin) (Erlectin) (XTP3-transactivated gene B protein),Homo sapiens (Human)
Pgenerosa-v1_contig_12755,2.00E-54,Q9Z2A7,2-acylglycerol O-acyltransferase activity; diacylglycerol O-acyltransferase activity; diacylglycerol metabolic process; endoplasmic reticulum membrane; fatty acid homeostasis; integral to membrane; intracellular membrane-bounded organelle; lipid storage; long-chain fatty-acyl-CoA metabolic process; retinol O-fatty-acyltransferase activity; retinol metabolic process; triglyceride biosynthetic process; very-low-density lipoprotein particle assembly,Diacylglycerol O-acyltransferase 1 (EC 2.3.1.20) (Acyl-CoA retinol O-fatty-acyltransferase) (ARAT) (Retinol O-fatty-acyltransferase) (EC 2.3.1.76) (Diglyceride acyltransferase),Mus musculus (Mouse)
Pgenerosa-v1_contig_12756,2.00E-30,Q9DE14,ATP binding; DNA binding; DNA repair; nucleus; peptidyl-serine phosphorylation; protein serine/threonine kinase activity,Serine/threonine-protein kinase atr (Xatr) (EC 2.7.11.1) (Ataxia telangiectasia and Rad3-related protein),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12757,0,Q9VR59,"ATP binding; cytosol; diphosphoinositol-pentakisphosphate kinase activity; inositol hexakisphosphate 1-kinase activity; inositol hexakisphosphate 3-kinase activity; inositol hexakisphosphate 5-kinase activity; inositol metabolic process; inositol-1,3,4,5,6-pentakisphosphate kinase activity",Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase (EC 2.7.4.21) (EC 2.7.4.24) (InsP6 and PP-IP5 kinase),Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_12759,2.00E-41,A7SMW7,2-hydroxyglutarate dehydrogenase activity; mitochondrion,"L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2)",Nematostella vectensis (Starlet sea anemone)
Pgenerosa-v1_contig_1276,8.00E-159,Q9CR47,nucleolus; rRNA processing; ribonucleoprotein complex,Ribosome biogenesis protein NSA2 homolog (L-name-related protein 42) (LNR42) (TGF-beta-inducible nuclear protein 1),Mus musculus (Mouse)
Pgenerosa-v1_contig_12760,4.00E-06,Q5I034,,Uncharacterized protein C12orf43 homolog,Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12762,6.00E-11,Q9NP71,"anatomical structure morphogenesis; carbohydrate response element binding; cytosol; energy reserve metabolic process; fatty acid homeostasis; glucose mediated signaling pathway; intracellular protein kinase cascade; negative regulation of cell cycle arrest; negative regulation of oxidative phosphorylation; negative regulation of peptidyl-serine phosphorylation; negative regulation of transcription from RNA polymerase II promoter; negative regulation of transcription, DNA-dependent; nucleoplasm; positive regulation of cell proliferation; positive regulation of fatty acid biosynthetic process; positive regulation of glycolysis; positive regulation of transcription from RNA polymerase II promoter; regulation of energy homeostasis; sequence-specific DNA binding transcription factor activity; small molecule metabolic process; transcription factor complex; transcription, DNA-dependent; triglyceride homeostasis",Carbohydrate-responsive element-binding protein (ChREBP) (Class D basic helix-loop-helix protein 14) (bHLHd14) (MLX interactor) (MLX-interacting protein-like) (WS basic-helix-loop-helix leucine zipper protein) (WS-bHLH) (Williams-Beuren syndrome chromosomal region 14 protein),Homo sapiens (Human)
Pgenerosa-v1_contig_12763,0,Q9Y2R4,ATP binding; ATP-dependent helicase activity; RNA binding; nucleolus,Probable ATP-dependent RNA helicase DDX52 (EC 3.6.4.13) (ATP-dependent RNA helicase ROK1-like) (DEAD box protein 52),Homo sapiens (Human)
Pgenerosa-v1_contig_12767,5.00E-82,Q924T7,CD40 receptor complex; CD40 signaling pathway; LUBAC complex; T cell receptor signaling pathway; cytosol; internal side of plasma membrane; positive regulation of I-kappaB kinase/NF-kappaB cascade; positive regulation of NF-kappaB transcription factor activity; protein linear polyubiquitination; ubiquitin binding; ubiquitin-protein ligase activity; zinc ion binding,E3 ubiquitin-protein ligase RNF31 (EC 6.3.2.-) (HOIL-1-interacting protein) (HOIP) (Putative Ariadne-like ubiquitin ligase) (PAUL) (RING finger protein 31),Mus musculus (Mouse)
Pgenerosa-v1_contig_12772,1.00E-50,Q8QZT1,acetyl-CoA C-acetyltransferase activity; adipose tissue development; brain development; coenzyme binding; liver development; metal ion binding; metanephric proximal convoluted tubule development; mitochondrial inner membrane; mitochondrial matrix; protein homooligomerization; response to hormone stimulus; response to organic cyclic compound; response to starvation,"Acetyl-CoA acetyltransferase, mitochondrial (EC 2.3.1.9) (Acetoacetyl-CoA thiolase)",Mus musculus (Mouse)
Pgenerosa-v1_contig_12775,1.00E-48,Q8VDL4,ADP-specific glucokinase activity; extracellular region; glycolysis; metal ion binding,ADP-dependent glucokinase (ADP-GK) (ADPGK) (EC 2.7.1.147),Mus musculus (Mouse)
Pgenerosa-v1_contig_12776,2.00E-18,Q1LZ79,Gemini of coiled bodies; SMN complex; cytoplasm; spliceosomal complex; spliceosomal snRNP assembly,Gem-associated protein 8 (Gemin-8),Bos taurus (Bovine)
Pgenerosa-v1_contig_1278,3.00E-138,P84173,"DNA replication; cellular response to interleukin-6; histone deacetylation; integral to plasma membrane; mitochondrial inner membrane; negative regulation of androgen receptor signaling pathway; negative regulation of cell growth; negative regulation of cell proliferation; negative regulation of glucocorticoid receptor signaling pathway; negative regulation of transcription by competitive promoter binding; nucleoplasm; positive regulation of transcription, DNA-dependent; progesterone receptor signaling pathway; transcription regulatory region DNA binding",Prohibitin,Gallus gallus (Chicken)
Pgenerosa-v1_contig_12780,0,Q9JHU4,ATP binding; ATP catabolic process; ATPase activity; Golgi apparatus; axonemal dynein complex; centrosome; cilium movement; cytoplasm; cytoplasmic mRNA processing body assembly; extracellular vesicular exosome; filopodium; microtubule; microtubule motor activity; stress granule assembly; transport,"Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)",Mus musculus (Mouse)
Pgenerosa-v1_contig_12786,1.00E-24,P33224,"cytoplasm; isovaleryl-CoA dehydrogenase activity; negative regulation of transcription, DNA-dependent; response to stress; sequence-specific DNA binding",Putative acyl-CoA dehydrogenase AidB (EC 1.3.99.-),Escherichia coli (strain K12)
Pgenerosa-v1_contig_12788,1.00E-37,Q9D1M4,"DNA repair; aminoacyl-tRNA synthetase multienzyme complex; cytoplasm; embryo development; negative regulation of cell proliferation; nucleus; positive regulation of DNA damage response, signal transduction by p53 class mediator; positive regulation of apoptotic process; positive regulation of apoptotic signaling pathway; translation",Eukaryotic translation elongation factor 1 epsilon-1 (Elongation factor p18) (Multisynthase complex auxiliary component p18),Mus musculus (Mouse)
Pgenerosa-v1_contig_12789,5.00E-96,Q2NL14,histone H4-K16 acetylation; histone H4-K5 acetylation; histone H4-K8 acetylation; histone acetyltransferase activity (H4-K16 specific); histone acetyltransferase activity (H4-K5 specific); histone acetyltransferase activity (H4-K8 specific); histone acetyltransferase complex,KAT8 regulatory NSL complex subunit 2 (NSL complex protein NSL2) (Non-specific lethal 2 homolog),Bos taurus (Bovine)
Pgenerosa-v1_contig_1279,4.00E-86,Q9H0C1,intracellular; metal ion binding,Zinc finger MYND domain-containing protein 12,Homo sapiens (Human)
Pgenerosa-v1_contig_12794,8.00E-11,Q2EY13,integral to membrane; multicellular organismal development,Protogenin B (Fragment),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12796,2.00E-22,Q14517,actin filament organization; anatomical structure morphogenesis; calcium ion binding; cell migration; cell-cell adhesion; cell-cell junction; cell-cell signaling; establishment or maintenance of cell polarity; filopodium; homophilic cell adhesion; integral to plasma membrane; lamellipodium; nucleus; perinuclear region of cytoplasm,"Protocadherin Fat 1 (Cadherin family member 7) (Cadherin-related tumor suppressor homolog) (Protein fat homolog) [Cleaved into: Protocadherin Fat 1, nuclear form]",Homo sapiens (Human)
Pgenerosa-v1_contig_12798,9.00E-161,P13221,2-oxoglutarate metabolic process; L-aspartate:2-oxoglutarate aminotransferase activity; L-cysteine:2-oxoglutarate aminotransferase activity; L-phenylalanine:2-oxoglutarate aminotransferase activity; aspartate biosynthetic process; aspartate catabolic process; aspartate metabolic process; axon terminus; carboxylic acid binding; cellular response to insulin stimulus; cytosol; fatty acid homeostasis; glutamate catabolic process to 2-oxoglutarate; glutamate catabolic process to aspartate; glutamate metabolic process; glycerol biosynthetic process; lysosome; oxaloacetate metabolic process; phosphatidylserine decarboxylase activity; pyridoxal phosphate binding; response to glucocorticoid stimulus,"Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)",Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12799,3.00E-10,Q5FYB0,arylsulfatase activity; endoplasmic reticulum lumen; extracellular region; glycosphingolipid metabolic process; metal ion binding; post-translational protein modification; small molecule metabolic process,Arylsulfatase J (ASJ) (EC 3.1.6.-),Homo sapiens (Human)
Pgenerosa-v1_contig_128,2.00E-35,Q6NVF9,mRNA binding; mRNA cleavage factor complex; mRNA polyadenylation; nucleotide binding; paraspeckles; protein tetramerization; ribonucleoprotein complex,Cleavage and polyadenylation specificity factor subunit 6,Mus musculus (Mouse)
Pgenerosa-v1_contig_12803,3.00E-21,P86854,carbohydrate binding; extracellular region,Perlucin-like protein,Mytilus galloprovincialis (Mediterranean mussel)
Pgenerosa-v1_contig_12808,2.00E-78,Q5XXA6,chloride channel complex; cytoplasm; intracellular calcium activated chloride channel activity; multicellular organismal development; plasma membrane; regulation of membrane potential,Anoctamin-1 (Discovered on gastrointestinal stromal tumors protein 1) (Oral cancer overexpressed protein 2) (Transmembrane protein 16A) (Tumor-amplified and overexpressed sequence 2),Homo sapiens (Human)
Pgenerosa-v1_contig_12812,2.00E-09,P02637,calcium ion binding,Sarcoplasmic calcium-binding protein (SCP),Mizuhopecten yessoensis (Japanese scallop) (Patinopecten yessoensis)
Pgenerosa-v1_contig_12813,2.00E-49,Q5JPE7,carbohydrate binding; endoplasmic reticulum membrane; integral to membrane,Nodal modulator 2 (pM5 protein 2),Homo sapiens (Human)
Pgenerosa-v1_contig_12817,5.00E-91,P42346,ATP binding; G1/S transition of mitotic cell cycle; Golgi membrane; PML body; RNA polymerase III type 1 promoter DNA binding; RNA polymerase III type 2 promoter DNA binding; RNA polymerase III type 3 promoter DNA binding; TOR signaling cascade; TORC1 complex; TORC2 complex; cell projection organization; cellular response to hypoxia; cellular response to nutrient levels; cytosol; drug binding; endoplasmic reticulum membrane; germ cell development; lysosome; mTOR-FKBP12-rapamycin complex; mitochondrial outer membrane; negative regulation of NFAT protein import into nucleus; negative regulation of autophagy; negative regulation of cell size; negative regulation of macroautophagy; nucleus; peptidyl-serine phosphorylation; peptidyl-threonine phosphorylation; positive regulation of actin filament polymerization; positive regulation of endothelial cell proliferation; positive regulation of lamellipodium assembly; positive regulation of lipid biosynthetic process; positive regulation of myotube differentiation; positive regulation of peptidyl-tyrosine phosphorylation; positive regulation of protein kinase B signaling cascade; positive regulation of stress fiber assembly; positive regulation of transcription from RNA polymerase III promoter; positive regulation of translation; protein autophosphorylation; protein serine/threonine kinase activity; regulation of Rac GTPase activity; regulation of carbohydrate utilization; regulation of fatty acid beta-oxidation; regulation of glycogen biosynthetic process; regulation of protein kinase activity; regulation of response to food; response to amino acid stimulus; response to insulin stimulus; ribosome binding; ruffle organization,Serine/threonine-protein kinase mTOR (EC 2.7.11.1) (FK506-binding protein 12-rapamycin complex-associated protein 1) (FKBP12-rapamycin complex-associated protein) (Mammalian target of rapamycin) (mTOR) (Mechanistic target of rapamycin) (Rapamycin target protein 1) (RAPT1),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12818,5.00E-144,O97578,cysteine-type peptidase activity; lysosome; proteolysis,Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain 1 (Dipeptidyl peptidase I heavy chain 1); Dipeptidyl peptidase 1 heavy chain 2 (Dipeptidyl peptidase I heavy chain 2); Dipeptidyl peptidase 1 heavy chain 3 (Dipeptidyl peptidase I heavy chain 3); Dipeptidyl peptidase 1 heavy chain 4 (Dipeptidyl peptidase I heavy chain 4); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)] (Fragment),Canis familiaris (Dog) (Canis lupus familiaris)
Pgenerosa-v1_contig_12819,2.00E-102,Q13148,3'-UTR-mediated mRNA stabilization; RNA splicing; cell death; double-stranded DNA binding; mRNA 3'-UTR binding; mRNA processing; negative regulation by host of viral transcription; nucleotide binding; nucleus; sequence-specific DNA binding transcription factor activity; transcription from RNA polymerase II promoter,TAR DNA-binding protein 43 (TDP-43),Homo sapiens (Human)
Pgenerosa-v1_contig_1282,1.00E-160,Q9D5S7,ATP binding; kinase activity,Leucine-rich repeat and guanylate kinase domain-containing protein,Mus musculus (Mouse)
Pgenerosa-v1_contig_12820,5.00E-44,P28799,blastocyst hatching; cell death; embryo implantation; extracellular space; growth factor activity; intracellular membrane-bounded organelle; mitochondrion; positive regulation of epithelial cell proliferation; signal transduction,Granulins (Proepithelin) (PEPI) [Cleaved into: Acrogranin (Glycoprotein of 88 Kda) (Progranulin); Paragranulin; Granulin-1 (Granulin G); Granulin-2 (Granulin F); Granulin-3 (Granulin B); Granulin-4 (Granulin A); Granulin-5 (Granulin C); Granulin-6 (Granulin D); Granulin-7 (Granulin E)],Homo sapiens (Human)
Pgenerosa-v1_contig_12821,2.00E-38,Q2HJF3,DNA binding; DNA replication; nuclear origin of replication recognition complex,Origin recognition complex subunit 6,Bos taurus (Bovine)
Pgenerosa-v1_contig_12824,1.00E-76,Q9NZ63,cytoplasm; nucleus,Uncharacterized protein C9orf78 (Hepatocellular carcinoma-associated antigen 59),Homo sapiens (Human)
Pgenerosa-v1_contig_12826,1.00E-16,Q7T163,integral to membrane; late endosome; nervous system development,Kinase D-interacting substrate of 220 kDa (Ankyrin repeat-rich membrane-spanning protein),Danio rerio (Zebrafish) (Brachydanio rerio)
Pgenerosa-v1_contig_12828,3.00E-109,Q6INM2,negative regulation of NF-kappaB transcription factor activity; nucleus; peptidyl-lysine monomethylation; protein-lysine N-methyltransferase activity; regulation of inflammatory response,N-lysine methyltransferase setd6 (EC 2.1.1.-) (SET domain-containing protein 6),Xenopus laevis (African clawed frog)
Pgenerosa-v1_contig_12829,1.00E-33,Q9DAZ9,zinc ion binding,Zinc finger FYVE domain-containing protein 19,Mus musculus (Mouse)
Pgenerosa-v1_contig_1283,0,P13395,Golgi apparatus; actin binding; actin filament capping; axon midline choice point recognition; basolateral plasma membrane; calcium ion binding; central nervous system development; fusome; fusome organization; germarium-derived female germ-line cyst formation; germarium-derived oocyte fate determination; lipid particle; long-term strengthening of neuromuscular junction; maintenance of presynaptic active zone structure; microtubule binding; negative regulation of microtubule depolymerization; neuromuscular junction; neuromuscular synaptic transmission; oocyte construction; ovarian follicle cell development; plasma membrane organization; regulation of cell shape; spectrin; spectrosome; spectrosome organization,Spectrin alpha chain,Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_12832,3.00E-11,O35550,GTPase activator activity; apoptotic process; early endosome; endocytic vesicle; endocytosis; endosome; positive regulation of GTPase activity; protein transport; recycling endosome,Rab GTPase-binding effector protein 1 (Rabaptin-5) (Rabaptin-5alpha),Rattus norvegicus (Rat)
Pgenerosa-v1_contig_12835,0,A6QPU5,ATP binding; aspartate-tRNA ligase activity; mitochondrial matrix; nucleic acid binding; tRNA aminoacylation for protein translation,"Aspartate--tRNA ligase, mitochondrial (EC 6.1.1.12) (Aspartyl-tRNA synthetase) (AspRS)",Bos taurus (Bovine)
Pgenerosa-v1_contig_12839,0,O08811,"4 iron, 4 sulfur cluster binding; 5'-3' DNA helicase activity; ATP binding; ATP-dependent DNA helicase activity; DNA binding; MMXD complex; RNA polymerase II carboxy-terminal domain kinase activity; UV protection; aging; apoptotic process; bone mineralization; cell cycle checkpoint; cell proliferation; central nervous system myelin formation; chromosome segregation; cyclin-dependent protein kinase activating kinase holoenzyme complex; cytoplasm; embryonic cleavage; erythrocyte maturation; extracellular matrix organization; hair cell differentiation; hair follicle maturation; hematopoietic stem cell differentiation; holo TFIIH complex; in utero embryonic development; metal ion binding; multicellular organism growth; nucleotide-excision repair, DNA incision; positive regulation of DNA binding; positive regulation of transcription from RNA polymerase II promoter; post-embryonic development; response to oxidative stress; spinal cord development; transcription from RNA polymerase II promoter; transcription-coupled nucleotide-excision repair",TFIIH basal transcription factor complex helicase XPD subunit (EC 3.6.4.12) (CXPD) (DNA excision repair protein ERCC-2) (DNA repair protein complementing XP-D cells) (Xeroderma pigmentosum group D-complementing protein),Mus musculus (Mouse)
Pgenerosa-v1_contig_1284,0,O18373,ATP binding; cell cycle; cell proliferation; glutamine metabolic process; imaginal disc development; kinase activity; mitochondrion organization; negative regulation of reactive oxygen species metabolic process; neurogenesis; positive regulation of cell proliferation; selenocysteine biosynthetic process,"Selenide, water dikinase (EC 2.7.9.3) (Protein patufet) (Selenium donor protein) (Selenophosphate synthase) (dSelD)",Drosophila melanogaster (Fruit fly)
Pgenerosa-v1_contig_12841,3.00E-38,Q32L09,,UPF0515 protein C19orf66 homolog,Bos taurus (Bovine)
Pgenerosa-v1_contig_12843,2.00E-15,O95400,U5 snRNP; assembly of spliceosomal tri-snRNP; cytoplasm; negative regulation of phosphatase activity; nucleoplasm; ribonucleoprotein complex binding,CD2 antigen cytoplasmic tail-binding protein 2 (CD2 cytoplasmic domain-binding protein 2) (CD2 tail-binding protein 2) (U5 snRNP 52K protein) (U5-52K),Homo sapiens (Human)
Pgenerosa-v1_contig_12845,2.00E-53,Q8NBA8,,DTW domain-containing protein 2,Homo sapiens (Human)
Pgenerosa-v1_contig_12847,2.00E-94,O00429,GTP binding; GTPase activity; Golgi apparatus; cellular component disassembly involved in execution phase of apoptosis; cytosol; dynamin polymerization involved in mitochondrial fission; endomembrane system; membrane fission involved in mitochondrial fission; microtubule; mitochondrial fragmentation involved in apoptotic process; mitochondrial outer membrane; mitochondrion morphogenesis; necroptosis; perinuclear region of cytoplasm; peroxisome; peroxisome fission; positive regulation of intrinsic apoptotic signaling pathway; positive regulation of mitochondrial fission; positive regulation of protein secretion; positive regulation of release of cytochrome c from mitochondria; protein complex; protein homodimerization activity; protein homotetramerization; regulation of peroxisome organization,Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1),Homo sapiens (Human)
Pgenerosa-v1_contig_12851,7.00E-35,O75715,extracellular region; glutathione peroxidase activity; lipid metabolic process; response to oxidative stress,Epididymal secretory glutathione peroxidase (EC 1.11.1.9) (Epididymis-specific glutathione peroxidase-like protein) (EGLP) (Glutathione peroxidase 5) (GPx-5) (GSHPx-5),Homo sapiens (Human)
Pgenerosa-v1_contig_12852,1.00E-150,Q24270,apical plasma membrane; basolateral plasma membrane; epithelial fluid transport; metal ion binding; muscle contraction; voltage-gated calcium channel activity; voltage-gated calcium channel complex,Voltage-dependent calcium channel type D subunit alpha-1 (DmCa1D),Drosophila melanogaster (Fruit fly)
